"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Produção (Toneladas)"
"Unidade da Federação","Mês x Produto das lavouras"
"Unidade da Federação","setembro 2006",,"outubro 2006",,"novembro 2006",,"dezembro 2006",,"janeiro 2007",,"fevereiro 2007",,"março 2007",,"abril 2007",,"maio 2007",,"junho 2007",,"julho 2007",,"agosto 2007",,"setembro 2007",,"outubro 2007",,"novembro 2007",,"dezembro 2007",,"janeiro 2008",,"fevereiro 2008",,"março 2008",,"abril 2008",,"maio 2008",,"junho 2008",,"julho 2008",,"agosto 2008",,"setembro 2008",,"outubro 2008",,"novembro 2008",,"dezembro 2008",,"janeiro 2009",,"fevereiro 2009",,"março 2009",,"abril 2009",,"maio 2009",,"junho 2009",,"julho 2009",,"agosto 2009",,"setembro 2009",,"outubro 2009",,"novembro 2009",,"dezembro 2009",,"janeiro 2010",,"fevereiro 2010",,"março 2010",,"abril 2010",,"maio 2010",,"junho 2010",,"julho 2010",,"agosto 2010",,"setembro 2010",,"outubro 2010",,"novembro 2010",,"dezembro 2010",,"janeiro 2011",,"fevereiro 2011",,"março 2011",,"abril 2011",,"maio 2011",,"junho 2011",,"julho 2011",,"agosto 2011",,"setembro 2011",,"outubro 2011",,"novembro 2011",,"dezembro 2011",,"janeiro 2012",,"fevereiro 2012",,"março 2012",,"abril 2012",,"maio 2012",,"junho 2012",,"julho 2012",,"agosto 2012",,"setembro 2012",,"outubro 2012",,"novembro 2012",,"dezembro 2012",,"janeiro 2013",,"fevereiro 2013",,"março 2013",,"abril 2013",,"maio 2013",,"junho 2013",,"julho 2013",,"agosto 2013",,"setembro 2013",,"outubro 2013",,"novembro 2013",,"dezembro 2013",,"janeiro 2014",,"fevereiro 2014",,"março 2014",,"abril 2014",,"maio 2014",,"junho 2014",,"julho 2014",,"agosto 2014",,"setembro 2014",,"outubro 2014",,"novembro 2014",,"dezembro 2014",,"janeiro 2015",,"fevereiro 2015",,"março 2015",,"abril 2015",,"maio 2015",,"junho 2015",,"julho 2015",,"agosto 2015",,"setembro 2015",,"outubro 2015",,"novembro 2015",,"dezembro 2015",,"janeiro 2016",,"fevereiro 2016",,"março 2016",,"abril 2016",,"maio 2016",,"junho 2016",,"julho 2016",,"agosto 2016",,"setembro 2016",,"outubro 2016",,"novembro 2016",,"dezembro 2016",,"janeiro 2017",,"fevereiro 2017",,"março 2017",,"abril 2017",,"maio 2017",,"junho 2017",,"julho 2017",,"agosto 2017",,"setembro 2017",,"outubro 2017",,"novembro 2017",,"dezembro 2017",,"janeiro 2018",,"fevereiro 2018",,"março 2018",,"abril 2018",,"maio 2018",,"junho 2018",,"julho 2018",,"agosto 2018",,"setembro 2018",,"outubro 2018",,"novembro 2018",,"dezembro 2018",,"janeiro 2019",,"fevereiro 2019",,"março 2019",,"abril 2019",,"maio 2019",,"junho 2019",,"julho 2019",,"agosto 2019",,"setembro 2019",,"outubro 2019",,"novembro 2019",,"dezembro 2019",,"janeiro 2020",,"fevereiro 2020",,"março 2020",,"abril 2020",,"maio 2020",,"junho 2020",,"julho 2020",,"agosto 2020",,"setembro 2020",,"outubro 2020",,"novembro 2020",,"dezembro 2020",,"janeiro 2021",,"fevereiro 2021",,"março 2021",,"abril 2021",,"maio 2021",,"junho 2021",,"julho 2021",,"agosto 2021",,"setembro 2021",,"outubro 2021",,"novembro 2021",,"dezembro 2021",,"janeiro 2022",,"fevereiro 2022",,"março 2022",,"abril 2022",,"maio 2022",,"junho 2022",,"julho 2022",,"agosto 2022",,"setembro 2022",,"outubro 2022",,"novembro 2022",,"dezembro 2022",,"janeiro 2023",,"fevereiro 2023"
"Unidade da Federação","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)","Total","1.14 Milho (2ª Safra)"
"Rondônia","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","599532","..","696422","..","696422","..","695089","..","695089","..","695089","..","676445","..","598190","..","598168","..","598366","..","525071","..","527471","..","527471","..","501331","..","499374","..","504105","..","504090","..","503451","..","566773","..","566773","..","750127","..","751718","..","790167","..","786940","..","786940","..","815919","..","815919","..","815919","..","815919","..","815919","..","566773","..","566773","..","566773","..","560684","..","560684","..","560684","..","662860","..","653512","..","653512","..","652202","..","653606","..","653606","..","665864","..","665864","..","665864","..","791903","..","791948","..","791948","..","791948","..","791948","..","791948","..","831133","..","831133","..","831133","..","817936","..","817936","..","817936","..","891526","..","891526","..","891526","..","891526","..","891526","..","891526","..","893557","..","893557","..","893557","..","916911","..","916911","..","916911","..","916911","..","916911","..","916911","..","969132","..","977740","..","1005044","..","1031845","..","1084983","..","1084983","..","1209459","..","1209459","..","1272114","..","1286185","..","1286221","..","1286221","..","1315671","..","1491938","..","1839767","..","1844295","..","1418926","..","1385000","..","1561471","..","1561471"
"Acre","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","1094","..","1094","..","1094","..","1094","..","1094","..","1094","..","1094","..","1094","..","1094","..","1094","..","1094","..","1476","..","1476","..","1142","..","1142","..","11359","..","11359","..","11238","..","12722","..","12722","..","12722","..","12286","..","5711","..","5711","..","5711","..","5066","..","4743","..","4743","..","4743","..","4743","..","4743","..","4743","..","4743","..","4743","..","4743","..","4743","..","4743","..","3675","..","3675","..","4010","..","4010","..","4010","..","4010","..","4010","..","4010","..","4010","..","4010","..","4010","..","4010","..","4010","..","4010","..","4179","..","4179","..","4179","..","2770","..","2441","..","2770","..","2770","..","2770","..","10757","..","10757","..","10757","..","10757","..","15161","..","15161","..","15161","..","22335","..","22335","..","22335","..","22335","..","23530","..","23530","..","24822","..","24822","..","24822","..","30633","..","30633","..","30633","..","30633","..","30633","..","30633","..","30633","..","42140","..","42140","..","42140","..","42140","..","42623","..","49002","..","49002"
"Amazonas","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","1","..","1","..","1","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","239","..","239","..","239","..","193","..","193","..","193","..","193","..","193","..","193","..","193","..","193","..","193","..","193","..","193","..","193","..","193","..","193","..","193","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-"
"Roraima","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","1500","..","1500","..","1500","..","1500","..","1500","..","1500","..","1500","..","1500","..","1500","..","1500","..","1500","..","1500","..","1500","..","1500","..","1500","..","1500","..","1500","..","1500","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","41374","..","32796","..","32796","..","32796","..","32796","..","32796","..","32796","..","32796","..","32796","..","32796","..","32796","..","32796","..","32796","..","38518","..","38518","..","38518","..","38518","..","38518","..","38518","..","38518","..","38518","..","38518","..","38518","..","38518","..","38518","..","40424","..","40424"
"Pará","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","26015","..","26015","..","26015","..","26015","..","53265","..","53265","..","53265","..","53265","..","53265","..","53265","..","53241","..","53241","..","53241","..","53241","..","57790","..","59946","..","61446","..","61446","..","87246","..","87246","..","87246","..","87246","..","75721","..","75721","..","83219","..","80738","..","107738","..","107738","..","107738","..","107738","..","107738","..","107738","..","113338","..","123366","..","79481","..","96713","..","96713","..","95873","..","95873","..","86789","..","87889","..","87889","..","87889","..","83889","..","83889","..","84327","..","262641","..","638391","..","298338","..","298338","..","287888","..","287888","..","294316","..","294316","..","294816","..","294816","..","294816","..","294816","..","270769","..","240217","..","240217","..","240217","..","240217","..","234915","..","234915","..","233644","..","249332","..","249332","..","255482","..","255482","..","244772","..","243318","..","243351","..","243351","..","243351","..","320251","..","320251","..","320251","..","320251","..","320251","..","335551","..","335551","..","321433","..","339458","..","339458","..","339458","..","339458","..","339458","..","339458","..","339458","..","339458","..","339458","..","339339","..","339339","..","338855","..","338855","..","463450","..","463450","..","463450","..","463450","..","463450","..","463450","..","463450","..","602950","..","610113","..","610113","..","592747","..","592747","..","592618","..","653752","..","653752","..","653752","..","653752","..","653752","..","708275","..","770330","..","701930","..","701930","..","838835","..","838835"
"Amapá","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-"
"Tocantins","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","465645","..","473262","..","473262","..","372341","..","372341","..","372341","..","372341","..","372341","..","196908","..","196908","..","197388","..","197388","..","197388","..","196022","..","210386","..","208622","..","208622","..","341139","..","341139","..","387162","..","393762","..","394662","..","394662","..","394662","..","394662","..","393494","..","393494","..","252738","..","252738","..","252738","..","346554","..","331434","..","331417","..","322497","..","301623","..","301623","..","301623","..","301623","..","375032","..","513946","..","513946","..","513946","..","530314","..","530314","..","530314","..","572392","..","573472","..","581072","..","591424","..","598724","..","598724","..","656280","..","656263","..","656263","..","656263","..","656263","..","656263","..","743891","..","744452","..","744452","..","932294","..","932294","..","963165","..","781577","..","781577","..","781577","..","781577","..","781577","..","781577","..","781577","..","781577","..","781577","..","781577","..","781577","..","781577","..","744079","..","793082","..","793082","..","793082","..","793082","..","793082","..","1122998","..","1122998","..","1122998","..","1122998","..","1122998","..","1122998","..","1421821","..","1421821"
"Maranhão","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","880","..","880","..","266533","..","266533","..","559684","..","563574","..","562214","..","562214","..","562214","..","562214","..","562214","..","565154","..","406836","..","406836","..","709041","..","709041","..","625198","..","632300","..","632300","..","632300","..","632300","..","673161","..","673161","..","673161","..","565363","..","570086","..","570086","..","517898","..","521298","..","521298","..","521298","..","519738","..","519738","..","519738","..","519738","..","519738","..","633253","..","322824","..","321864","..","322284","..","314896","..","128459","..","116183","..","116183","..","115943","..","115943","..","115943","..","115943","..","752099","..","752099","..","969033","..","969033","..","711074","..","710244","..","710244","..","710244","..","710244","..","710244","..","710244","..","710244","..","597159","..","597159","..","625852","..","625852","..","625852","..","625852","..","311663","..","311663","..","311663","..","318737","..","320903","..","320903","..","744525","..","745234","..","748704","..","771033","..","771033","..","821819","..","823319","..","823228","..","822751","..","822751","..","823980","..","823530","..","825312","..","825312","..","825312","..","825192","..","825192","..","825192","..","824232","..","824232","..","824574","..","824574","..","853452","..","853452","..","1017076","..","1017076","..","1017076","..","1017076","..","896534","..","896534","..","895444","..","891748","..","891716","..","891716","..","891716","..","891716","..","796867","..","796867","..","796867","..","796442","..","796442","..","796442","..","797126","..","795842","..","795842","..","795842","..","795842","..","795842","..","879164","..","879164"
"Piauí","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","-","..","1050","..","1050","..","987","..","987","..","987","..","925","..","925","..","925","..","718","..","718","..","1186","..","1186","..","1834","..","1834","..","1166","..","1166","..","1166","..","1202","..","1202","..","1202","..","1109","..","1109","..","1185","..","1185","..","1185","..","1185","..","1886","..","1886","..","1886","..","1793","..","1793","..","1793","..","2104","..","2104","..","124076","..","124076","..","111162","..","111162","..","77702","..","77702","..","77702","..","77702","..","41301","..","41301","..","41188","..","41188","..","145460","..","145460","..","198045","..","198045","..","176908","..","176908","..","176908","..","144756","..","144756","..","144756","..","144516","..","144516","..","169920","..","169920","..","300280","..","300280","..","291106","..","291106","..","291106","..","93514","..","93514","..","93514","..","93444","..","93444","..","140023","..","140023","..","335572","..","335572","..","336742","..","336742","..","336742","..","368916","..","368916","..","368916","..","368497","..","368497","..","251086","..","251086","..","223630","..","223630","..","223630","..","223630","..","149374","..","149374","..","149374","..","149374","..","149589","..","149589","..","390831","..","390831","..","390831","..","495133","..","495133","..","495133","..","495133","..","331929","..","331929","..","331929","..","351069","..","351069","..","621616","..","621616","..","621616","..","637869","..","637869","..","637869","..","637013","..","637013","..","637013","..","637013","..","635882","..","635889","..","739858","..","722207"
