"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Área colhida (Hectares)"
"Unidade da Federação";"Mês x Produto das lavouras"
"Unidade da Federação";"setembro 2006";"outubro 2006";"novembro 2006";"dezembro 2006";"janeiro 2007";"fevereiro 2007";"março 2007";"abril 2007";"maio 2007";"junho 2007";"julho 2007";"agosto 2007";"setembro 2007";"outubro 2007";"novembro 2007";"dezembro 2007";"janeiro 2008";"fevereiro 2008";"março 2008";"abril 2008";"maio 2008";"junho 2008";"julho 2008";"agosto 2008";"setembro 2008";"outubro 2008";"novembro 2008";"dezembro 2008";"janeiro 2009";"fevereiro 2009";"março 2009";"abril 2009";"maio 2009";"junho 2009";"julho 2009";"agosto 2009";"setembro 2009";"outubro 2009";"novembro 2009";"dezembro 2009";"janeiro 2010";"fevereiro 2010";"março 2010";"abril 2010";"maio 2010";"junho 2010";"julho 2010";"agosto 2010";"setembro 2010";"outubro 2010";"novembro 2010";"dezembro 2010";"janeiro 2011";"fevereiro 2011";"março 2011";"abril 2011";"maio 2011";"junho 2011";"julho 2011";"agosto 2011";"setembro 2011";"outubro 2011";"novembro 2011";"dezembro 2011";"janeiro 2012";"fevereiro 2012";"março 2012";"abril 2012";"maio 2012";"junho 2012";"julho 2012";"agosto 2012";"setembro 2012";"outubro 2012";"novembro 2012";"dezembro 2012";"janeiro 2013";"fevereiro 2013";"março 2013";"abril 2013";"maio 2013";"junho 2013";"julho 2013";"agosto 2013";"setembro 2013";"outubro 2013";"novembro 2013";"dezembro 2013";"janeiro 2014";"fevereiro 2014";"março 2014";"abril 2014";"maio 2014";"junho 2014";"julho 2014";"agosto 2014";"setembro 2014";"outubro 2014";"novembro 2014";"dezembro 2014";"janeiro 2015";"fevereiro 2015";"março 2015";"abril 2015";"maio 2015";"junho 2015";"julho 2015";"agosto 2015";"setembro 2015";"outubro 2015";"novembro 2015";"dezembro 2015";"janeiro 2016";"fevereiro 2016";"março 2016";"abril 2016";"maio 2016";"junho 2016";"julho 2016";"agosto 2016";"setembro 2016";"outubro 2016";"novembro 2016";"dezembro 2016";"janeiro 2017";"fevereiro 2017";"março 2017";"abril 2017";"maio 2017";"junho 2017";"julho 2017";"agosto 2017";"setembro 2017";"outubro 2017";"novembro 2017";"dezembro 2017";"janeiro 2018";"fevereiro 2018";"março 2018";"abril 2018";"maio 2018";"junho 2018";"julho 2018";"agosto 2018";"setembro 2018";"outubro 2018";"novembro 2018";"dezembro 2018";"janeiro 2019";"fevereiro 2019";"março 2019";"abril 2019";"maio 2019";"junho 2019";"julho 2019";"agosto 2019";"setembro 2019";"outubro 2019";"novembro 2019";"dezembro 2019";"janeiro 2020";"fevereiro 2020";"março 2020";"abril 2020";"maio 2020";"junho 2020";"julho 2020";"agosto 2020";"setembro 2020";"outubro 2020";"novembro 2020";"dezembro 2020";"janeiro 2021";"fevereiro 2021";"março 2021";"abril 2021";"maio 2021";"junho 2021";"julho 2021";"agosto 2021";"setembro 2021";"outubro 2021";"novembro 2021";"dezembro 2021";"janeiro 2022";"fevereiro 2022";"março 2022";"abril 2022";"maio 2022";"junho 2022";"julho 2022";"agosto 2022";"setembro 2022";"outubro 2022";"novembro 2022";"dezembro 2022";"janeiro 2023";"fevereiro 2023"
"Unidade da Federação";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja"
"Rondônia";"103040";"103040";"103040";"103040";"89570";"89570";"89570";"89570";"89570";"89070";"89070";"89070";"89070";"88310";"88890";"88890";"98030";"98030";"98030";"99786";"99206";"99206";"99206";"99206";"99206";"99206";"99206";"99206";"107175";"107175";"106420";"106420";"106420";"106820";"104445";"104251";"111626";"111626";"111626";"111626";"115400";"122908";"122908";"122908";"122908";"122908";"121903";"121903";"121903";"122323";"122323";"122323";"129405";"132050";"132300";"132300";"132300";"132300";"132300";"132300";"132300";"132300";"132300";"132300";"132300";"132300";"132300";"142549";"142549";"142549";"144064";"144064";"144064";"144064";"144064";"145424";"144064";"144064";"171765";"171765";"174827";"175777";"178277";"178277";"178277";"179677";"179677";"180177";"179886";"178432";"178432";"185082";"185752";"191162";"191937";"191940";"191940";"191970";"191970";"191970";"211424";"220623";"219698";"223364";"232262";"232462";"232962";"233362";"233362";"233605";"233605";"233605";"230049";"246949";"247415";"257474";"243531";"243089";"243147";"241343";"242147";"241270";"241260";"246171";"264546";"264546";"273432";"278287";"278596";"281391";"281391";"282634";"282634";"282634";"282634";"278533";"264546";"264546";"264546";"279594";"279594";"279594";"285529";"285529";"285529";"288965";"300166";"300166";"285529";"285529";"285529";"310466";"310466";"310466";"310466";"310466";"310466";"352911";"352911";"352911";"359818";"359818";"359818";"396683";"396683";"396683";"396683";"396683";"396683";"396883";"396883";"392642";"399075";"399075";"399075";"399075";"399075";"399075";"387781";"384559";"380251";"394610";"400489";"400489";"396183";"417542";"432328";"464943";"464943";"464943";"473221";"488939";"506801";"507103";"493002";"493002";"523938";"523938"
"Acre";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"100";"200";"200";"120";"120";"127";"127";"127";"127";"127";"127";"127";"127";"700";"700";"700";"700";"700";"700";"480";"480";"480";"480";"480";"480";"480";"480";"480";"480";"480";"480";"480";"480";"480";"480";"480";"480";"480";"480";"480";"2530";"2530";"2530";"2530";"2530";"2530";"2530";"3280";"3280";"5968";"5968";"6180";"6280";"6280";"6730";"6730";"6935";"6935";"6935";"6935";"6935";"6960";"6960";"6960";"6245";"6245";"6050";"6050";"6050";"6050";"6050";"6050";"6570";"11560";"11560"
"Amazonas";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Roraima";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12000";"12000";"12000";"12000";"12000";"12000";"12000";"12000";"12000";"12000";"15300";"21740";"21740";"23914";"23914";"23914";"25000";"25000";"25000";"25000";"25000";"25000";"25000";"23570";"23820";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470";"24470"
"Pará";"78205";"78205";"78205";"70810";"90000";"90000";"48315";"48315";"45940";"45940";"45940";"47915";"47915";"47785";"53528";"53528";"52000";"52000";"57275";"57275";"57245";"57245";"57245";"70776";"70776";"70776";"70776";"70776";"71060";"71060";"67610";"67610";"72235";"72235";"72235";"71260";"71260";"71260";"71260";"71410";"71260";"71260";"69760";"86805";"86900";"86900";"86900";"86900";"86900";"86900";"86900";"86900";"85130";"108600";"107650";"108350";"104818";"104818";"105718";"105718";"105718";"106018";"106018";"105888";"105718";"105718";"119140";"119140";"119140";"119140";"119202";"119202";"121702";"118686";"118686";"118686";"140000";"140000";"189036";"166076";"166076";"189397";"165407";"165426";"165426";"165426";"165426";"189426";"165746";"165746";"165746";"165746";"233934";"233910";"233910";"233910";"233840";"235258";"235258";"243171";"243171";"243171";"295091";"322330";"322710";"322710";"336460";"337000";"336980";"336980";"337056";"337056";"387115";"426205";"426205";"411735";"411735";"423923";"430203";"430203";"430203";"433703";"433593";"433593";"483860";"484913";"480744";"480744";"499977";"499977";"499977";"499977";"499977";"499977";"499977";"499977";"543630";"545180";"545180";"545180";"545180";"549696";"549696";"561412";"553342";"553342";"557532";"557532";"594226";"527739";"527879";"527879";"527879";"562639";"562739";"562739";"565239";"565239";"567739";"580569";"562739";"591643";"603473";"603473";"603473";"603473";"607553";"607553";"607553";"607553";"607553";"607553";"623690";"623690";"715345";"715345";"715345";"715345";"754761";"754761";"754761";"753761";"753761";"753761";"828178";"828178";"828688";"839060";"839060";"829310";"828710";"828710";"849710";"849710";"839710";"839710";"848182";"848182"
"Amapá";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"11125";"11125";"11125";"18500";"18500";"18500";"18500";"18500";"16350";"14520";"14520";"14302";"14860";"14860";"14860";"17150";"17150";"17150";"17150";"17150";"18900";"18900";"18900";"18900";"18900";"18900";"18900";"20200";"20200";"20200";"20200";"20200";"20200";"20200";"20200";"20200";"20200";"20500";"20500";"22500";"22500";"22500";"22500";"20900";"20900";"20900";"20900";"18500";"18500";"18500";"18500";"20500";"20500";"20500";"20500";"18922";"19722";"19722";"19722";"19722";"19722";"19722";"20050";"21100";"16720";"10500";"5220";"5220";"5220";"5220";"6700";"6700";"6700";"6700";"6700";"20500";"6500";"6500";"6500";"6500";"6500";"6500";"6500";"6500";"6500";"6500";"6500";"15000";"15000"
"Tocantins";"297300";"297300";"297300";"297300";"281411";"282596";"282596";"282596";"278996";"278996";"278996";"278996";"278996";"278996";"278996";"278996";"299855";"299855";"322212";"322212";"334392";"334392";"328608";"328608";"328608";"328608";"324480";"324480";"323325";"323325";"324340";"324340";"311420";"311420";"312390";"312390";"312390";"312390";"312390";"312390";"335240";"329560";"329560";"329560";"329560";"329810";"329810";"350275";"353975";"353975";"353975";"353975";"348000";"348000";"352000";"352000";"352000";"371732";"371732";"384907";"384907";"373992";"373992";"373592";"396970";"396970";"396970";"396970";"396970";"406600";"406600";"406600";"406600";"422793";"422793";"422793";"406600";"406600";"406600";"406600";"406600";"406600";"406600";"406600";"406600";"406600";"406600";"510610";"600000";"600000";"600000";"600000";"667380";"669140";"669140";"669140";"707403";"707403";"707403";"707403";"723570";"724070";"724070";"724070";"724070";"724070";"752533";"752533";"778216";"778216";"797652";"825639";"807873";"807873";"784590";"784590";"777361";"777361";"777361";"777361";"777361";"777361";"777701";"776257";"816968";"816968";"828661";"828661";"845680";"847230";"847530";"847530";"847530";"847530";"844311";"871254";"914895";"914895";"914895";"914142";"895026";"888601";"866127";"866357";"866357";"866357";"866357";"889995";"912894";"912894";"912894";"934085";"934085";"934085";"919806";"919806";"923669";"924329";"925497";"925497";"978567";"975513";"975513";"975513";"975513";"975513";"990767";"989707";"989707";"980101";"980101";"981101";"971640";"971640";"971640";"971640";"971640";"971640";"971640";"971640";"971640";"971640";"971640";"1098912";"1007471";"1043471";"1043471";"1043471";"1043471";"1052515";"1144764";"1144764";"1144764";"1144764";"1144764";"1144764";"1194967";"1194967"
"Maranhão";"382886";"382886";"382886";"382886";"384319";"384319";"384319";"384319";"384319";"384319";"384474";"384474";"384474";"384474";"384474";"384474";"388748";"388748";"417811";"417811";"417971";"421161";"421470";"421470";"421470";"421470";"421470";"421470";"399842";"390735";"390361";"390361";"387503";"388428";"388428";"388428";"388428";"388428";"388428";"388428";"413402";"414916";"402381";"402381";"493485";"501605";"501605";"500653";"500653";"500653";"500653";"500653";"520573";"527861";"528811";"531107";"531100";"530695";"530389";"530389";"530389";"530389";"530389";"530539";"556379";"556379";"556314";"556385";"556385";"556376";"556376";"556178";"556178";"556178";"556178";"556178";"587104";"587451";"570078";"569998";"571664";"571764";"571154";"571154";"571154";"571154";"563366";"563366";"584068";"585553";"676278";"676278";"677500";"677500";"677500";"677500";"677500";"677500";"677500";"677540";"710793";"712098";"712098";"746465";"749395";"749310";"748885";"759325";"761225";"761225";"761225";"761225";"851716";"787264";"787264";"784094";"784094";"784044";"784014";"783614";"783614";"783614";"783604";"783604";"817693";"815143";"817480";"817546";"818296";"818576";"820454";"820454";"818809";"818809";"818809";"818809";"918490";"920330";"920440";"920440";"920440";"920440";"920982";"921132";"921332";"926656";"925506";"926656";"954748";"955065";"968210";"970160";"970160";"972360";"974065";"974065";"975028";"975028";"975140";"975140";"961627";"961627";"959640";"962053";"962053";"961703";"961347";"961347";"960937";"960937";"960937";"960937";"997414";"997414";"1003544";"1003264";"1003264";"1003264";"1003377";"1007157";"1005623";"1005623";"1006173";"1006173";"1074431";"1078665";"1078893";"1080957";"1081118";"1081262";"1081262";"1081281";"1081281";"1081281";"1081281";"1081281";"1148972";"1148972"
"Piauí";"232009";"232009";"232009";"232009";"221497";"221497";"221497";"221497";"221497";"216006";"216006";"216006";"216006";"216006";"216006";"217006";"227785";"227785";"250859";"250859";"253566";"253566";"253566";"253566";"253566";"253566";"253566";"253566";"274023";"274023";"274023";"274023";"276672";"276672";"276672";"276672";"276672";"276672";"276672";"276672";"327059";"327059";"336385";"336385";"343092";"343092";"343092";"343092";"343092";"343092";"343092";"343092";"389190";"389190";"389190";"377886";"377886";"383618";"383618";"383618";"383618";"383618";"383618";"383618";"438859";"438859";"447323";"447323";"444756";"444756";"444756";"444756";"444756";"444756";"444856";"444856";"546428";"546428";"544533";"544533";"533134";"533134";"533134";"533114";"533114";"533114";"533114";"533114";"630843";"630843";"628891";"628891";"626820";"626820";"626820";"626799";"626799";"626799";"626799";"626799";"673686";"667530";"664339";"664339";"665347";"665347";"665347";"666718";"666718";"666718";"666718";"666718";"626110";"621010";"564123";"564123";"561715";"561715";"561715";"561715";"561715";"561715";"561715";"561715";"686829";"686479";"694011";"694011";"691364";"691364";"691364";"691514";"691514";"691514";"691514";"694947";"711033";"711033";"708478";"708478";"708428";"708428";"708428";"711123";"711123";"711123";"711123";"711123";"757599";"757599";"763232";"763232";"763232";"763232";"763232";"765844";"765844";"765844";"765944";"765944";"769969";"769969";"754036";"754036";"754036";"754036";"757710";"757710";"757710";"757710";"757678";"757678";"843540";"843540";"843540";"825457";"825457";"825457";"825457";"831381";"831381";"831381";"832063";"832063";"880398";"880398";"880398";"877128";"877128";"877128";"873142";"873142";"873142";"873142";"872906";"872906";"910596";"939435"
