"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Produção (Toneladas)"
"Unidade da Federação";"Mês x Produto das lavouras"
"Unidade da Federação";"setembro 2006";"outubro 2006";"novembro 2006";"dezembro 2006";"janeiro 2007";"fevereiro 2007";"março 2007";"abril 2007";"maio 2007";"junho 2007";"julho 2007";"agosto 2007";"setembro 2007";"outubro 2007";"novembro 2007";"dezembro 2007";"janeiro 2008";"fevereiro 2008";"março 2008";"abril 2008";"maio 2008";"junho 2008";"julho 2008";"agosto 2008";"setembro 2008";"outubro 2008";"novembro 2008";"dezembro 2008";"janeiro 2009";"fevereiro 2009";"março 2009";"abril 2009";"maio 2009";"junho 2009";"julho 2009";"agosto 2009";"setembro 2009";"outubro 2009";"novembro 2009";"dezembro 2009";"janeiro 2010";"fevereiro 2010";"março 2010";"abril 2010";"maio 2010";"junho 2010";"julho 2010";"agosto 2010";"setembro 2010";"outubro 2010";"novembro 2010";"dezembro 2010";"janeiro 2011";"fevereiro 2011";"março 2011";"abril 2011";"maio 2011";"junho 2011";"julho 2011";"agosto 2011";"setembro 2011";"outubro 2011";"novembro 2011";"dezembro 2011";"janeiro 2012";"fevereiro 2012";"março 2012";"abril 2012";"maio 2012";"junho 2012";"julho 2012";"agosto 2012";"setembro 2012";"outubro 2012";"novembro 2012";"dezembro 2012";"janeiro 2013";"fevereiro 2013";"março 2013";"abril 2013";"maio 2013";"junho 2013";"julho 2013";"agosto 2013";"setembro 2013";"outubro 2013";"novembro 2013";"dezembro 2013";"janeiro 2014";"fevereiro 2014";"março 2014";"abril 2014";"maio 2014";"junho 2014";"julho 2014";"agosto 2014";"setembro 2014";"outubro 2014";"novembro 2014";"dezembro 2014";"janeiro 2015";"fevereiro 2015";"março 2015";"abril 2015";"maio 2015";"junho 2015";"julho 2015";"agosto 2015";"setembro 2015";"outubro 2015";"novembro 2015";"dezembro 2015";"janeiro 2016";"fevereiro 2016";"março 2016";"abril 2016";"maio 2016";"junho 2016";"julho 2016";"agosto 2016";"setembro 2016";"outubro 2016";"novembro 2016";"dezembro 2016";"janeiro 2017";"fevereiro 2017";"março 2017";"abril 2017";"maio 2017";"junho 2017";"julho 2017";"agosto 2017";"setembro 2017";"outubro 2017";"novembro 2017";"dezembro 2017";"janeiro 2018";"fevereiro 2018";"março 2018";"abril 2018";"maio 2018";"junho 2018";"julho 2018";"agosto 2018";"setembro 2018";"outubro 2018";"novembro 2018";"dezembro 2018";"janeiro 2019";"fevereiro 2019";"março 2019";"abril 2019";"maio 2019";"junho 2019";"julho 2019";"agosto 2019";"setembro 2019";"outubro 2019";"novembro 2019";"dezembro 2019";"janeiro 2020";"fevereiro 2020";"março 2020";"abril 2020";"maio 2020";"junho 2020";"julho 2020";"agosto 2020";"setembro 2020";"outubro 2020";"novembro 2020";"dezembro 2020";"janeiro 2021";"fevereiro 2021";"março 2021";"abril 2021";"maio 2021";"junho 2021";"julho 2021";"agosto 2021";"setembro 2021";"outubro 2021";"novembro 2021";"dezembro 2021";"janeiro 2022";"fevereiro 2022";"março 2022";"abril 2022";"maio 2022";"junho 2022";"julho 2022";"agosto 2022";"setembro 2022";"outubro 2022";"novembro 2022";"dezembro 2022";"janeiro 2023";"fevereiro 2023"
"Unidade da Federação";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja";"1.15 Soja"
"Rondônia";"278715";"273555";"273555";"273555";"263299";"263299";"263299";"263299";"263299";"266227";"266227";"266227";"266227";"264381";"265869";"259069";"298686";"298686";"298686";"318528";"311502";"311502";"311502";"311502";"311502";"311502";"311560";"311560";"332649";"332649";"329946";"329946";"329982";"331182";"322737";"322039";"357424";"357424";"357424";"357424";"363048";"388237";"388237";"388237";"388237";"388237";"384340";"384340";"384340";"385388";"385388";"385388";"410926";"422593";"423343";"425343";"419522";"419522";"419522";"419522";"419522";"419522";"419522";"419522";"417318";"417318";"417318";"459196";"459196";"459196";"463654";"463654";"463654";"463654";"463654";"468391";"457355";"457355";"541446";"541446";"556023";"558913";"569713";"569713";"569713";"574297";"574297";"574297";"573776";"570740";"570740";"599067";"598335";"610132";"611536";"614675";"614675";"614753";"614753";"614753";"675600";"704419";"702365";"713041";"743475";"744627";"745827";"747027";"747027";"748429";"748429";"748429";"730553";"783868";"784965";"817115";"752046";"750422";"750578";"744781";"929360";"927488";"927458";"761428";"823187";"823187";"890306";"904399";"902447";"911282";"911282";"915384";"915384";"915384";"915384";"908702";"823187";"823187";"823187";"870402";"870402";"870402";"949090";"949396";"949396";"958833";"990711";"990711";"916835";"916835";"916835";"1081749";"1081749";"1081749";"1081749";"1081749";"1081749";"1201219";"1201219";"1201219";"1162093";"1162093";"1162093";"1358577";"1358577";"1358577";"1358577";"1358577";"1358577";"1356715";"1356715";"1348784";"1316319";"1316319";"1316319";"1316319";"1316319";"1332834";"1296074";"1292039";"1285285";"1338293";"1352087";"1352087";"1333232";"1440198";"1528812";"1666185";"1666185";"1666185";"1692260";"1730873";"1838404";"1830915";"1768717";"1768717";"1880250";"1880250"
"Acre";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"275";"150";"150";"150";"150";"150";"150";"150";"150";"150";"150";"150";"400";"400";"230";"228";"261";"261";"261";"261";"261";"261";"261";"261";"1404";"1404";"1404";"1404";"1404";"1404";"1410";"1410";"1410";"1410";"1410";"1410";"1410";"1410";"1410";"1410";"1410";"1410";"1410";"1410";"1410";"1410";"1410";"1410";"1410";"1410";"1410";"8235";"8235";"8235";"8235";"8235";"8235";"8235";"10380";"10380";"18778";"18778";"20253";"22042";"22042";"24242";"24242";"23561";"23561";"23561";"23561";"23561";"23546";"23546";"23546";"21345";"21344";"20401";"20401";"20401";"20401";"20401";"20401";"22357";"38700";"38700"
"Amazonas";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Roraima";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28800";"28800";"28800";"28800";"28800";"28800";"28800";"28800";"28800";"28800";"44996";"56479";"56479";"61328";"61328";"61328";"60000";"60000";"60000";"60000";"60000";"60000";"60000";"53956";"55795";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"53056";"54470";"54470";"54470";"54470";"54470";"54470";"54470";"54470";"54470";"54470";"54470";"54470";"53516";"53516";"53516";"53516";"53516";"53516";"53516";"53516";"53516";"53516";"53516";"53516";"53198";"53198";"53198";"53198";"53198";"53198";"53198";"53198";"53198";"53198";"53198";"53198";"53247";"53247";"53247";"53247";"53247";"53247";"53247";"53247";"53247";"53247";"53247";"53247";"53320";"53320"
"Pará";"232198";"232198";"232198";"209864";"270000";"270000";"145252";"145252";"138114";"138114";"138114";"144632";"144632";"144200";"153943";"153943";"156000";"156000";"164969";"164969";"170063";"170063";"170063";"201111";"201111";"201111";"201111";"201111";"205648";"205648";"194856";"194856";"208731";"208731";"208731";"206051";"206051";"206051";"206051";"206456";"207414";"207414";"201981";"232339";"232437";"232437";"232437";"232437";"232437";"232437";"232437";"232437";"242306";"326331";"322837";"324727";"315537";"315537";"316617";"316617";"316617";"317591";"317251";"317093";"303657";"303657";"356789";"356789";"356789";"356789";"356789";"376179";"381804";"370398";"370398";"370398";"396000";"396000";"587191";"511051";"511051";"587914";"506284";"506347";"506347";"506347";"506347";"506347";"494310";"494310";"494310";"494310";"706124";"706052";"706052";"706052";"706700";"710744";"710744";"736707";"719381";"719381";"883575";"972705";"979505";"979505";"1017250";"1018870";"1018840";"1018840";"1019076";"1019076";"1197576";"1311719";"1311719";"1291927";"1291927";"1273860";"1292090";"1292090";"1292090";"1304090";"1303398";"1303398";"1534924";"1546504";"1543968";"1543968";"1595744";"1595744";"1635029";"1635029";"1635029";"1635029";"1635029";"1635029";"1554231";"1557051";"1557051";"1557051";"1557051";"1530659";"1530659";"1658503";"1634335";"1634335";"1638826";"1638826";"1957087";"1620349";"1620945";"1620945";"1620945";"1711539";"1711959";"1711959";"1719709";"1719709";"1730779";"1780569";"1702046";"1811269";"1855025";"1855025";"1855025";"1855025";"1861346";"1861346";"1861346";"1861346";"1861616";"1861616";"1916380";"1916380";"2188950";"2188950";"2188950";"2188950";"2235627";"2235627";"2235627";"2232427";"2232427";"2232427";"2375433";"2375433";"2496827";"2532478";"2532478";"2500434";"2498814";"2498814";"2565946";"2565946";"2566946";"2566946";"2598235";"2598235"
"Amapá";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"29370";"29370";"29370";"48500";"48500";"48500";"48500";"48500";"42200";"38913";"38913";"38190";"42351";"42351";"42351";"49562";"49562";"49562";"49562";"49562";"54400";"54400";"54400";"54400";"54400";"54400";"54400";"58250";"58250";"58250";"58250";"58250";"58250";"58250";"58250";"58250";"58250";"53770";"53770";"59500";"59500";"59500";"59500";"57500";"57500";"57500";"57500";"48050";"48050";"48050";"48050";"53500";"53500";"53500";"53500";"56989";"59569";"59569";"59569";"56207";"50421";"50421";"47818";"52650";"40100";"25788";"12705";"12705";"12705";"12705";"17956";"17956";"17956";"17956";"17956";"48620";"17225";"17225";"17225";"17225";"17225";"17225";"17225";"17225";"17225";"17225";"17225";"37500";"37500"
"Tocantins";"678377";"678377";"678377";"678377";"687185";"678047";"678047";"678047";"666392";"666392";"666392";"666392";"665392";"665392";"665392";"665392";"720049";"720049";"886920";"886920";"881771";"881771";"902949";"902949";"902949";"902949";"899532";"899532";"894721";"894721";"904208";"904208";"856643";"856643";"866552";"866552";"866552";"866552";"866552";"866552";"921903";"918259";"918259";"918259";"918259";"921501";"921501";"984156";"994406";"994406";"994406";"994406";"974400";"974400";"1014487";"1014487";"1014487";"1143084";"1143084";"1168209";"1168209";"1134608";"1134608";"1125833";"1185896";"1185896";"1185896";"1185896";"1185896";"1243680";"1243680";"1243680";"1243680";"1286280";"1286280";"1286280";"1165045";"1165045";"1165045";"1165045";"1165045";"1165045";"1165045";"1165045";"1165045";"1165045";"1165045";"1496384";"1800000";"1800000";"1800000";"1800000";"2019362";"1822436";"1822436";"1822436";"2093941";"2093941";"2093941";"2093941";"2117483";"2118983";"2118983";"2118983";"2118983";"2118983";"2173928";"2173928";"2233999";"2233999";"2319449";"2399231";"2291935";"2291935";"2084155";"2084155";"1830260";"1748506";"1748506";"1748696";"1748696";"1748696";"1749873";"1809384";"2350170";"2350170";"2382084";"2382084";"2399620";"2406620";"2407693";"2423288";"2423288";"2423288";"2412227";"2471000";"2597209";"2597209";"2597209";"2672231";"2579735";"2586846";"2512541";"2516266";"2516266";"2516266";"2516266";"2582640";"2691155";"2691155";"2691155";"2747777";"2747777";"2747777";"2597921";"2585960";"2601282";"2614410";"2617984";"2617984";"2892637";"2884588";"2884588";"2884588";"2884588";"2884588";"3053809";"3050483";"3050483";"3051664";"3051664";"3055467";"2863204";"2863204";"2863204";"2863204";"2863204";"2863204";"2863204";"2863204";"2863204";"2863204";"2863204";"3557545";"3020792";"3264758";"3264758";"3264758";"3264758";"3300708";"3369389";"3369389";"3369389";"3369389";"3369389";"3369389";"3999595";"3999595"
"Maranhão";"931142";"931142";"931142";"931142";"1124669";"1124669";"1124669";"1124669";"1124669";"1124669";"1125054";"1125054";"1125054";"1125054";"1125054";"1125054";"1139691";"1139691";"1221291";"1221291";"1228587";"1258269";"1262560";"1262560";"1262560";"1262560";"1262560";"1262560";"1166653";"1139549";"1086038";"1086038";"993988";"991298";"976217";"976217";"976217";"976217";"976217";"976217";"1172766";"1244767";"1196596";"1196596";"1334212";"1260815";"1260815";"1327375";"1327375";"1327420";"1327420";"1327420";"1443006";"1567018";"1569883";"1559928";"1561578";"1569850";"1570923";"1570923";"1570923";"1570923";"1570923";"1571418";"1837812";"1837816";"1837816";"1837782";"1711080";"1652163";"1644305";"1640183";"1640183";"1640183";"1640183";"1640183";"1814666";"1815443";"1661124";"1660884";"1663959";"1616445";"1607953";"1607416";"1607416";"1607416";"1581687";"1581687";"1794608";"1795963";"2077588";"2077588";"1874815";"1876501";"1876501";"1876501";"1876501";"1876501";"1876501";"1875792";"1945583";"1949778";"1949778";"2109992";"2116012";"2075859";"2066886";"2096564";"2100682";"2100682";"2099507";"2099507";"2637542";"1953242";"1896215";"1331514";"1331514";"1314430";"1284730";"1281527";"1281527";"1281527";"1271618";"1242772";"2489351";"2480705";"2489295";"2489480";"2491074";"2508887";"2514388";"2338976";"2334301";"2334301";"2334301";"2334526";"2794158";"2799991";"2895824";"2895824";"2895824";"2895824";"2731169";"2729422";"2733568";"2751206";"2747756";"2751206";"2798844";"2719443";"2833166";"2833189";"2808110";"2845110";"2857427";"2861818";"2841480";"2841480";"2844806";"2844806";"3071416";"3071416";"3036698";"3042292";"3042292";"3041122";"3052717";"3060278";"3058058";"3058058";"3058058";"3058058";"3147239";"3147239";"3173618";"3172599";"3167246";"3193675";"3194261";"3206615";"3202608";"3202726";"3203304";"3203304";"3427512";"3441799";"3442633";"3448800";"3456970";"3456970";"3456970";"3468243";"3468243";"3468243";"3468243";"3461383";"3666289";"3666289"
"Piauí";"544086";"544086";"544086";"544086";"632859";"632859";"632859";"632859";"632859";"484378";"484378";"484378";"484378";"484378";"484378";"484940";"661525";"661525";"748104";"742793";"795768";"828300";"821600";"819258";"819258";"819258";"819258";"819258";"808042";"808042";"826118";"856322";"780580";"780580";"780580";"780580";"780580";"780580";"780580";"780580";"981535";"981535";"934093";"934093";"868493";"868493";"868493";"868493";"868493";"868493";"868493";"868493";"1171552";"1171552";"1171552";"1164212";"1164212";"1144031";"1144031";"1144033";"1144033";"1144033";"1144033";"1144033";"1355444";"1355444";"1366303";"1366303";"1242484";"1242484";"1242484";"1242484";"1242484";"1242484";"1242574";"1242574";"1671076";"1671076";"1068214";"1068214";"924691";"924691";"924691";"920950";"920950";"920950";"920950";"920950";"1935708";"1935708";"1754491";"1754491";"1488565";"1488565";"1488565";"1488645";"1488646";"1488646";"1488646";"1488646";"2034457";"1781259";"1839170";"1839170";"1800763";"1800763";"1800763";"1772722";"1772722";"1772722";"1772722";"1772722";"1812060";"1790010";"1107484";"1107484";"644263";"644263";"644263";"644263";"644263";"644263";"644263";"644263";"2123970";"2121894";"2207204";"2207204";"2013162";"2013162";"2013162";"2010349";"2010349";"2010349";"2009797";"2020195";"2261037";"2261037";"2372845";"2372845";"2372330";"2372330";"2372330";"2469650";"2469650";"2469650";"2469650";"2469650";"2566297";"2566297";"2377884";"2377884";"2377884";"2377884";"2377884";"2324775";"2324775";"2324775";"2325951";"2325951";"2562143";"2562143";"2520288";"2520288";"2520288";"2520288";"2447892";"2447892";"2447892";"2447892";"2447620";"2447620";"2830170";"2830170";"2830170";"2745215";"2745215";"2745215";"2745215";"2713714";"2713714";"2713714";"2713998";"2713998";"3043836";"3043836";"3043836";"3094744";"3094744";"3094744";"3079647";"3079647";"3079647";"3079647";"3077485";"3077485";"3201057";"3258861"
